Genre,Avg_Metascore,Avg_User_Score,Movie_Count
Drama,0.75,0.69,701
Comedy,0.73,0.68,287
Thriller,0.72,0.66,286
Mystery,0.72,0.64,162
Horror,0.71,0.63,157
Crime,0.74,0.68,141
Adventure,0.73,0.7,137
Biography,0.73,0.7,137
Romance,0.76,0.69,136
Action,0.71,0.69,131
Fantasy,0.73,0.7,110
Sci-Fi,0.71,0.66,105
History,0.76,0.7,98
Documentary,0.8,0.7,96
Animation,0.74,0.74,82
Family,0.72,0.72,71
Music,0.76,0.71,67
Sport,0.73,0.7,35
War,0.75,0.71,33
Musical,0.73,0.7,31
Western,0.76,0.67,19
Unknown,0.87,0.72,2
