Movie_Name,Release_Year,Metascore,User_Score,Average,User_Ratings,Duration_Minutes,Genre
Joker,2019,0.59,0.83,0.71,1600000,122.0,Psychological Drama|Psychological Thriller|Tragedy|Crime|Drama|Thriller
Avengers: Endgame,2019,0.78,0.84,0.81,1400000,181.0,Space Sci-Fi|Superhero|Time Travel|Tragedy|Action|Adventure|Sci-Fi
Avengers: Infinity War,2018,0.68,0.84,0.76,1300000,149.0,Space Sci-Fi|Superhero|Action|Adventure|Sci-Fi
Parasite,2019,0.97,0.85,0.91,1100000,132.0,Korean|Dark Comedy|Psychological Drama|Psychological Thriller|Tragedy|Drama|Thriller
Dune: Part One,2021,0.74,0.8,0.77,982000,155.0,Desert Adventure|Sci-Fi Epic|Space Sci-Fi|Action|Adventure|Drama|Sci-Fi
Spider-Man: No Way Home,2021,0.71,0.82,0.76,982000,148.0,Superhero|Supernatural Fantasy|Urban Adventure|Action|Adventure|Fantasy|Sci-Fi
Oppenheimer,2023,0.9,0.83,0.86,948000,180.0,Docudrama|Epic|Historical Epic|Period Drama|Psychological Drama|Biography|Drama|History
in Hollywood,2019,0.84,0.76,0.8,933000,161.0,Period Drama|Showbiz Drama|Comedy|Drama
The Batman,2022,0.72,0.78,0.75,899000,176.0,Action Epic|Epic|Hard-Boiled Detective|Serial Killer|Superhero|Tragedy|Action|Crime|Drama|Mystery
Black Panther,2018,0.88,0.73,0.8,892000,134.0,Superhero|Action|Adventure|Sci-Fi
Knives Out,2019,0.82,0.79,0.8,834000,130.0,Cozy Mystery|Satire|Whodunnit|Comedy|Crime|Drama|Mystery|Thriller
Top Gun: Maverick,2022,0.78,0.82,0.8,808000,130.0,Action Epic|Epic|Action|Drama
Spider-Man: Into the Spider-Verse,2018,0.87,0.84,0.86,755000,117.0,Coming-Of-Age|Computer Animation|Quirky Comedy|Superhero|Supernatural Fantasy|Teen Adventure|Teen Comedy|Teen Drama|Urban Adventure|Action
1917,2019,0.78,0.82,0.8,746000,119.0,Epic|Period Drama|War Epic|Action|Drama|War
Deadpool 2,2018,0.66,0.76,0.71,727000,119.0,Dark Comedy|Gun Fu|Raunchy Comedy|Superhero|Time Travel|Action|Adventure|Comedy|Sci-Fi
Dune: Part Two,2024,0.79,0.84,0.82,673000,166.0,Action Epic|Desert Adventure|Epic|Sci-Fi Epic|Space Sci-Fi|Action|Adventure|Drama|Sci-Fi
