Movie_Name,Release_Year,Metascore,User_Score,Average,User_Ratings,Duration_Minutes,Genre
Quo Vadis; Aida?,2021,0.97,0.83,0.9,161,101,Drama|History|War
Roma,2018,0.96,0.76,0.86,940,135,Drama
Summer of Soul (...Or; When the Revolution Could Not Be Televised),2021,0.96,0.76,0.86,82,117,Documentary|History|Music
Small Axe: Lovers Rock,2020,0.95,0.61,0.78,70,68,Drama|History
Portrait of a Lady on Fire,2019,0.95,0.85,0.9,410,122,Drama|Romance
One Battle After Another,2025,0.95,0.74,0.84,445,170,Action|Crime|Drama|Thriller
Do Not Expect Too Much From the End of the World,2024,0.95,0.67,0.81,85,163,Comedy|Drama
Aftersun,2022,0.95,0.81,0.88,287,98,Drama
Rocks,2021,0.95,0.68,0.82,52,93,Drama
Collective,2020,0.95,0.74,0.84,72,109,Documentary|Crime
Amazing Grace,2018,0.94,0.81,0.88,41,87,Documentary|Music
Inside the Yellow Cocoon Shell,2024,0.94,0.73,0.84,57,178,Drama
Past Lives,2023,0.94,0.78,0.86,359,106,Drama|Romance
Marriage Story,2019,0.94,0.81,0.88,769,137,Drama|Romance
Petite Maman,2021,0.93,0.79,0.86,73,72,Drama|Fantasy
All We Imagine as Light,2024,0.93,0.67,0.8,54,110,Drama|Romance
David Byrne’s American Utopia,2020,0.93,0.75,0.84,41,105,Documentary|Music|Musical
Shoplifters,2018,0.93,0.83,0.88,253,121,Crime|Drama|Thriller
No Other Land,2024,0.93,0.79,0.86,59,92,Documentary
Uncut Gems,2019,0.93,0.72,0.82,787,135,Crime|Drama|Thriller
Our Body,2023,0.93,0.46,0.7,21,168,Documentary
TÁR,2022,0.93,0.75,0.84,279,158,Drama|Music
No Bears,2022,0.93,0.79,0.86,25,106,Drama|Romance
Memoria,2021,0.92,0.65,0.78,50,136,Drama|Mystery|Sci-Fi
Here,2024,0.92,0.69,0.8,55,82,Drama
Apocalypse Now: Final Cut,2019,0.92,0.88,0.9,59,182,Drama|Mystery|War
Never Rarely Sometimes Always,2020,0.92,0.7,0.81,260,101,Drama
The Souvenir,2019,0.92,0.64,0.78,111,120,Drama|Romance
The Zone of Interest,2023,0.92,0.76,0.84,288,105,Drama|History|War
Burning,2018,0.91,0.77,0.84,235,148,Drama|Mystery|Thriller
Drive My Car,2021,0.91,0.76,0.84,177,179,Drama
Saint Omer,2023,0.91,0.55,0.73,44,122,Drama
Time,2020,0.91,0.54,0.73,78,81,Documentary|Biography
Little Women,2019,0.91,0.75,0.83,570,135,Drama|Romance
Soundtrack to a Coup dEtat,2024,0.91,0.59,0.75,29,150,Documentary|Music
Flee,2021,0.91,0.81,0.86,75,89,Documentary|Animation|Biography|Drama
Tótem,2024,0.91,0.75,0.83,51,95,Drama
Nickel Boys,2024,0.91,0.69,0.8,114,140,Drama
