Job_Name,Company,Location,Required_Skills,min_salary,max_salary
Software Developer,CÔNG TY TNHH HOPEE,Hồ Chí Minh: Quận 12,Không có,0,2000000
Chuyên Viên Kiểm Thử Phần Mềm,CÔNG TY CỔ PHẦN TẬP ĐOÀN APEC GROUP,Hà Nội: Cầu Giấy,"Kiến Thức Về Kiểm Thử Phần Mềm, Kỹ Năng Viết Test Case, Kỹ Năng Thực Hiện Test",10000000,18000000
Product Owner AI,Khối Công nghệ thông tin - Viettel Telecom,Hà Nội: Ba Đình,Không có,0,2000000
Intern Web Developer,Công ty TNHH Pancake Việt Nam,Thanh Hoá: TP Thanh Hoá,"Làm việc nhóm, Giao tiếp tốt, Khả năng giải quyết vấn đề",10000000,11000000
Quản Lý Dự Án,CÔNG TY CỔ PHẦN GIẢI PHÁP SỐ MOBIFONE,Hà Nội: Ba Đình,"Quản Lý Dự Án, Kinh Nghiệm Với Các Giải Pháp Phần Mềm, Hiểu Biết Về Cơ Sở Hạ Tầng Cntt",60000000,70000000
Thực Tập Sinh/ Intern Dev,CÔNG TY CỔ PHẦN ICSP VIỆT NAM,Hà Nội: Cầu Giấy,Không có,0,2000000
Backend Developer Công Ty IT Hàn Quốc,ORBRO Inc.,Hà Nội: Cầu Giấy,"REST API, Websocket, Backend",0,2000000
Chuyên Viên Công Nghệ Thông Tin,CÔNG TY CỔ PHẦN CÔNG NGHỆ Y TẾ NHẬT VIỆT,Hồ Chí Minh: Quận 2,"Kỹ năng giao tiếp, Kỹ năng làm việc nhóm, Khả năng giải quyết vấn đề",10000000,15000000
Business Analyst,CÔNG TY TNHH An Ninh An toàn Thông tin CMC,Hà Nội: Cầu Giấy,Không có,14000000,20000000
DevOps Engineer,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐIỆN TỬ BẢO KIM,Hà Nội: Thanh Xuân,Không có,25000000,35000000
Backend Developer,Công Ty CP Giải Pháp Phần Mềm Linh Hoạt,Hồ Chí Minh: Quận 11,"RESTful APIs, Data Structures And Algorithms, Database Design",0,2000000
Fullstack Developer,XIPAT FLEXIBLE SOLUTIONS COMPANY LIMITED,Hà Nội: Đống Đa,"Javascript, PHP, ReactJS",0,2000000
Fullstack Developer,CÔNG TY TNHH GROOO INTERNATIONAL,Hồ Chí Minh: Quận 1,"Spring Framework, Tiếng Anh, Java",0,2000000
Java Developer Intern,Woori Bank Vietnam,Hà Nội: Nam Từ Liêm,Java,5200000,7800000
Kỹ Sư Lập Trình Phần Mềm,TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Hà Nội: Thạch Thất,"Lập Trình, Kiến Thức Về Hệ Điều Hành, Kiến Thức Về Cơ Sở Dữ Liệu",0,2000000
Tester ,BSS Group,Hà Nội: Nam Từ Liêm,"Kỹ năng giao tiếp, Kỹ Năng Phân Tích Yêu Cầu, Kiến Thức Về Kiểm Thử Phần Mềm",10000000,15000000
Product Owner,CÔNG TY TNHH DAOUKIWOOM INNOVATION,Hồ Chí Minh: Bình Thạnh,"Agile, SCRUM, Stakeholder Management",10000000,28000000
Nhân Viên Triển Khai Giải Pháp ERP,CÔNG TY CP PHẦN MỀM QUẢN LÝ DOANH NGHIỆP FAST,Hà Nội: Nam Từ Liêm,"Kỹ năng giao tiếp, Kỹ năng giải quyết vấn đề, kỹ năng tư vấn",8000000,15000000
Scrum Master/ Project Manager,OpenCommerce Group,Hà Nội: Đống Đa,"tester leader, Software Tester, SCRUM",0,2000000
