Title,Year,IMDb_Rating,Votes,Metascore,Runtime,Genre
Joker,2019,8.3,1.6M,59,2h 2m,"Psychological Drama, Psychological Thriller, Tragedy, Crime, Drama, Thriller"
Avengers: Endgame,2019,8.4,1.4M,78,3h 1m,"Space Sci-Fi, Superhero, Time Travel, Tragedy, Action, Adventure, Sci-Fi"
Avengers: Infinity War,2018,8.4,1.3M,68,2h 29m,"Space Sci-Fi, Superhero, Action, Adventure, Sci-Fi"
Parasite,2019,8.5,1.1M,97,2h 12m,"Korean, Dark Comedy, Psychological Drama, Psychological Thriller, Tragedy, Drama, Thriller"
Dune: Part One,2021,8,982K,74,2h 35m,"Desert Adventure, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Drama, Sci-Fi"
Spider-Man: No Way Home,2021,8.2,982K,71,2h 28m,"Superhero, Supernatural Fantasy, Urban Adventure, Action, Adventure, Fantasy, Sci-Fi"
Chernobyl,2019,9.3,981K,N/A,TV-MA,"Disaster, Docudrama, Epic, Historical Epic, Period Drama, Psychological Drama, Drama, History, Thriller"
Oppenheimer,2023,8.3,948K,90,3h,"Docudrama, Epic, Historical Epic, Period Drama, Psychological Drama, Biography, Drama, History"
in Hollywood,2019,7.6,933K,84,2h 41m,"Period Drama, Showbiz Drama, Comedy, Drama"
The Batman,2022,7.8,899K,72,2h 56m,"Action Epic, Epic, Hard-boiled Detective, Serial Killer, Superhero, Tragedy, Action, Crime, Drama, Mystery"
Black Panther,2018,7.3,892K,88,2h 14m,"Superhero, Action, Adventure, Sci-Fi"
Knives Out,2019,7.9,834K,82,2h 10m,"Cozy Mystery, Satire, Whodunnit, Comedy, Crime, Drama, Mystery, Thriller"
The Boys,2019–,8.6,808K,N/A,TV-MA,"Dark Comedy, Psychological Drama, Raunchy Comedy, Satire, Superhero, Action, Comedy, Crime, Drama, Sci-Fi"
Top Gun: Maverick,2022,8.2,808K,78,2h 10m,"Action Epic, Epic, Action, Drama"
Spider-Man: Into the Spider-Verse,2018,8.4,755K,87,1h 57m,"Coming-of-Age, Computer Animation, Quirky Comedy, Superhero, Supernatural Fantasy, Teen Adventure, Teen Comedy, Teen Drama, Urban Adventure, Action"
1917,2019,8.2,746K,78,1h 59m,"Epic, Period Drama, War Epic, Action, Drama, War"
Deadpool 2,2018,7.6,727K,66,1h 59m,"Dark Comedy, Gun Fu, Raunchy Comedy, Superhero, Time Travel, Action, Adventure, Comedy, Sci-Fi"
Squid Game,2021–2025,8,722K,N/A,TV-MA,"Korean, Conspiracy Thriller, Dark Comedy, Korean Drama, Psychological Drama, Suspense Mystery, Action, Crime, Drama, Mystery"
The Last of Us,2023–,8.5,702K,N/A,TV-MA,"Dystopian Sci-Fi, Psychological Drama, Quest, Survival, Zombie Horror, Action, Adventure, Drama, Horror, Sci-Fi"
Dune: Part Two,2024,8.4,673K,79,2h 46m,"Action Epic, Desert Adventure, Epic, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Drama, Sci-Fi"
Green Book,2018,8.2,657K,69,2h 10m,"Docudrama, Period Drama, Road Trip, Biography, Comedy, Drama, Holiday, Music"
Don't Look Up,2021,7.2,652K,49,2h 18m,"Dark Comedy, Satire, Tragedy, Comedy, Drama, Sci-Fi"
Tenet,2020,7.3,645K,69,2h 30m,"Time Travel, Action, Sci-Fi, Thriller"
Captain Marvel,2019,6.7,645K,64,2h 3m,"Quest, Space Sci-Fi, Superhero, Action, Adventure, Sci-Fi"
A Quiet Place,2018,7.5,641K,82,1h 30m,"Alien Invasion, Monster Horror, Drama, Horror, Sci-Fi"
The Mandalorian,2019–,8.6,638K,N/A,TV-14,"Action Epic, Adventure Epic, Fantasy Epic, One-Person Army Action, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Fantasy, Sci-Fi"
The Queen's Gambit,2020,8.5,637K,N/A,TV-MA,"Coming-of-Age, Epic, Period Drama, Psychological Drama, Drama"
Bohemian Rhapsody,2018,7.9,632K,49,2h 14m,"Docudrama, Period Drama, Showbiz Drama, Biography, Drama, Music"
Barbie,2023,6.8,629K,80,1h 54m,"High-Concept Comedy, Quirky Comedy, Satire, Slapstick, Adventure, Comedy, Fantasy"
Spider-Man: Far from Home,2019,7.4,616K,69,2h 9m,"Superhero, Supernatural Fantasy, Teen Comedy, Urban Adventure, Action, Adventure, Comedy, Fantasy, Sci-Fi"
The Witcher,2019–,7.9,604K,N/A,TV-MA,"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, One-Person Army Action, Sword & Sorcery, Action, Adventure, Drama"
Everything Everywhere All at Once,2022,7.8,594K,81,2h 19m,"Action Epic, Adventure Epic, Dark Comedy, Epic, Fantasy Epic, Martial Arts, Sci-Fi Epic, Action, Adventure, Comedy"
Venom,2018,6.6,591K,35,1h 52m,"Alien Invasion, Dark Comedy, Kaiju, Superhero, Urban Adventure, Action, Adventure, Sci-Fi"
The Kashmir Files,2022,8.5,578K,N/A,2h 50m,"Hindi, Political Drama, Tragedy, Drama"
Avatar: The Way of Water,2022,7.5,549K,67,3h 12m,"Action Epic, Adventure Epic, Epic, Fantasy Epic, Sci-Fi Epic, Sea Adventure, Action, Adventure, Fantasy, Sci-Fi"
Ford v Ferrari,2019,8.1,545K,81,2h 32m,"Car Action, Docudrama, Motorsport, Period Drama, Action, Biography, Drama, Sport"
