Job_Name,Salary_Range,Company,Location,Required_Skills,Updated_Time,Detail_Link
Software Developer (EXPAT -  Chỉ Dành Cho Người Nước Ngoài),Thoả thuận,CÔNG TY TNHH HOPEE,Hồ Chí Minh: Quận 12,N/A,2 phút trước,https://www.topcv.vn/viec-lam/software-developer-expat-chi-danh-cho-nguoi-nuoc-ngoai/1913182.html?ta_source=ITJobs_LinkDetail
Chuyên Viên Kiểm Thử Phần Mềm (Tester) - Lương 10-18 Triệu,10 - 18 triệu,CÔNG TY CỔ PHẦN TẬP ĐOÀN APEC GROUP,Hà Nội: Cầu Giấy,"Kiến Thức Về Kiểm Thử Phần Mềm, Kỹ Năng Viết Test Case, Kỹ Năng Thực Hiện Test",2 phút trước,https://www.topcv.vn/viec-lam/chuyen-vien-kiem-thu-phan-mem-tester-luong-10-18-trieu/1912178.html?ta_source=ITJobs_LinkDetail
Product Owner AI (Quản Lý Sản Phẩm AI),Thoả thuận,Khối Công nghệ thông tin - Viettel Telecom,Hà Nội: Ba Đình,N/A,4 phút trước,https://www.topcv.vn/viec-lam/product-owner-ai-quan-ly-san-pham-ai/1913402.html?ta_source=ITJobs_LinkDetail
Intern Web Developer ( Tuyển Nữ ) _ Thanh Hoá_ Lương 10 -11 Triệu,10 - 11 triệu,Công ty TNHH Pancake Việt Nam,Thanh Hoá: TP Thanh Hoá,"Làm việc nhóm, Giao tiếp tốt, Khả năng giải quyết vấn đề",8 phút trước,https://www.topcv.vn/viec-lam/intern-web-developer-tuyen-nu-thanh-hoa-luong-10-11-trieu/1902882.html?ta_source=ITJobs_LinkDetail
Quản Lý Dự Án (Project Manager) – Team Công Nghệ (Product Base) - Lương Upto 60-70M - Tại Hà Nội,60 - 70 triệu,CÔNG TY CỔ PHẦN GIẢI PHÁP SỐ MOBIFONE,Hà Nội: Ba Đình,"Quản Lý Dự Án, Kinh Nghiệm Với Các Giải Pháp Phần Mềm, Hiểu Biết Về Cơ Sở Hạ Tầng Cntt",8 phút trước,https://www.topcv.vn/viec-lam/quan-ly-du-an-project-manager-team-cong-nghe-product-base-luong-upto-60-70m-tai-ha-noi/1912129.html?ta_source=ITJobs_LinkDetail
"Thực Tập Sinh/ Intern Dev - Hỗ Trợ Dấu Thực Tập - Tại Cầu Giấy, Hà Nội",Thoả thuận,CÔNG TY CỔ PHẦN ICSP VIỆT NAM,Hà Nội: Cầu Giấy,N/A,11 phút trước,https://www.topcv.vn/viec-lam/thuc-tap-sinh-intern-dev-ho-tro-dau-thuc-tap-tai-cau-giay-ha-noi/1913536.html?ta_source=ITJobs_LinkDetail
Backend Developer Công Ty IT Hàn Quốc,Thoả thuận,ORBRO Inc.,Hà Nội: Cầu Giấy,"REST API, Websocket, Backend",11 phút trước,https://www.topcv.vn/viec-lam/backend-developer-cong-ty-it-han-quoc/1911617.html?ta_source=ITJobs_LinkDetail
Chuyên Viên Công Nghệ Thông Tin (TP. HCM),10 - 15 triệu,CÔNG TY CỔ PHẦN CÔNG NGHỆ Y TẾ NHẬT VIỆT,Hồ Chí Minh: Quận 2,"Kỹ năng giao tiếp, Kỹ năng làm việc nhóm, Khả năng giải quyết vấn đề",11 phút trước,https://www.topcv.vn/viec-lam/chuyen-vien-cong-nghe-thong-tin-tp-hcm/1913896.html?ta_source=ITJobs_LinkDetail
Business Analyst (Thu Nhập 14-20 Triệu/Tháng),14 - 20 triệu,CÔNG TY TNHH An Ninh An toàn Thông tin CMC,Hà Nội: Cầu Giấy,N/A,11 phút trước,https://www.topcv.vn/viec-lam/business-analyst-thu-nhap-14-20-trieu-thang/1456702.html?ta_source=ITJobs_LinkDetail
"DevOps Engineer - Thu Nhập Upto 35 Triệu (Hỗ Trợ Ăn Trưa, Thưởng Năng Suất Và Lợi Nhuận Cao) Tại Hà Nội",25 - 35 triệu,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐIỆN TỬ BẢO KIM,Hà Nội: Thanh Xuân,N/A,11 phút trước,https://www.topcv.vn/viec-lam/devops-engineer-thu-nhap-upto-35-trieu-ho-tro-an-trua-thuong-nang-suat-va-loi-nhuan-cao-tai-ha-noi/1912237.html?ta_source=ITJobs_LinkDetail
Backend Developer (Java SpringBoot / Flutter),Thoả thuận,Công Ty CP Giải Pháp Phần Mềm Linh Hoạt,Hồ Chí Minh: Quận 11,"RESTful APIs, Data Structures And Algorithms, Database Design",11 phút trước,https://www.topcv.vn/viec-lam/backend-developer-java-springboot-flutter/1913055.html?ta_source=ITJobs_LinkDetail
