Job_Title_Raw,Salary_Min_Overview,Salary_Max_Overview,Salary_Avg_Overview,Source_Link
lập trình viên frontend,5 Tr,30 Tr,15 Tr/ tháng,https://vietnamsalary.careerviet.vn/detail/lập-trình-viên-frontend-kwc1
android developer,6 Tr,50 Tr,"19,8 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/android-developer-kwc1
nhân viên quản trị hệ thống,6 Tr,40 Tr,"13,8 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/nhân-viên-quản-trị-hệ-thống-kwc1
nhân viên seo,5 Tr,16 Tr,"9,5 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/nhân-viên-seo-kwc1
trưởng phòng it,8 Tr,70 Tr,25 Tr/ tháng,https://vietnamsalary.careerviet.vn/detail/trưởng-phòng-it-kwc1
it business analyst,9 Tr,50 Tr,"20,4 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/it-business-analyst-kwc1
lương nhân viên kinh doanh,"3,5 Tr",35 Tr,10 Tr/ tháng,https://vietnamsalary.careerviet.vn/detail/Nhân-Viên-Kinh-Doanh-kw
product owner,10 Tr,115 Tr,"32,7 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/product-owner-kwc1
lương kế toán trưởng,6 Tr,70 Tr,"21,1 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/Kế-Toán-Trưởng-kw
it developer,5 Tr,30 Tr,"16,3 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/it-developer-kwc1
lương sales executive,"4,6 Tr",46 Tr,"12,6 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/Sales-Executive-kw
nhân viên hỗ trợ kỹ thuật,5 Tr,15 Tr,"7,7 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/nhân-viên-hỗ-trợ-kỹ-thuật-kwc1
it officer,5 Tr,"25,3 Tr","13,9 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/it-officer-kwc1
it staff,5 Tr,"25,3 Tr","10,9 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/it-staff-kwc1
data analyst,5 Tr,69 Tr,"17,8 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/data-analyst-kwc1
senior backend developer,10 Tr,70 Tr,"25,5 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/senior-backend-developer-kwc1
lập trình viên ios,8 Tr,20 Tr,"13,3 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/lập-trình-viên-ios-kwc1
nhân viên phân tích nghiệp vụ,5 Tr,23 Tr,"12,7 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/nhân-viên-phân-tích-nghiệp-vụ-kwc1
lương accountant,"3,5 Tr",30 Tr,"9,1 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/Accountant-kw
lương chuyên viên tuyển dụng,5 Tr,35 Tr,"12,2 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/Chuyên-Viên-Tuyển-Dụng-kw
nhân viên tester,7 Tr,46 Tr,"13,6 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/nhân-viên-tester-kwc1
lương nhân viên bán hàng,"3,5 Tr",25 Tr,"7,7 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/Nhân-Viên-Bán-Hàng-kw
java developer,6 Tr,"73,6 Tr",22 Tr/ tháng,https://vietnamsalary.careerviet.vn/detail/java-developer-kwc1
business analyst,5 Tr,60 Tr,"18,4 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/business-analyst-kwc1
nhân viên thiết kế,5 Tr,"27,6 Tr","9,6 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/nhân-viên-thiết-kế-kwc1
it executive,5 Tr,25 Tr,"12,9 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/it-executive-kwc1
lương nhân viên kỹ thuật,"3,5 Tr",30 Tr,"8,9 Tr/ tháng",https://vietnamsalary.careerviet.vn/detail/Nhân-Viên-Kỹ-Thuật-kw
